index,Bellinzona,Blenio,Leventina,Locarno,Lugano,Mendrisio,Riviera,Vallemaggia
pw_HDD,4096.287333,4443.837583,4360.818083,2473.441458,2611.406167,2478.710542,4590.493458,3372.015833
r_HDD,1.152787372,1.250595827,1.227232273,0.696082048,0.73490842,0.697564887,1.291868089,0.948961084
